# B02: 250 entries from AI.xml, Actions.xml

## AI.xml|InfiniteCount32
EN: Di Viago
UK: Ді Віаго

## AI.xml|InfiniteCount33
EN: Di Sanguini
UK: Ді Сангіні

## AI.xml|InfiniteCount34
EN: De Varney
UK: Де Варні

## AI.xml|InfiniteCount35
EN: De Cullen
UK: Де Каллен

## AI.xml|InfiniteCount36
EN: Von Varozich
UK: Фон Варожіч

## AI.xml|InfiniteCount37
EN: Von Orlok
UK: Фон Орлок

## AI.xml|InfiniteCount38
EN: De Saint-Germain
UK: Де Сен-Жермен

## AI.xml|PlatinumScion0
UK: <icon texture='GUI/Bullet'/>Приєднує вказану клітинку поверхні на відстані до %1% кл. від <icon height='20' texture='Icons/Buildings/Headquarters'/> Штабу<br/>
    <icon texture='GUI/Bullet'/>Будівлі можна будувати тільки на приєднаних клітинках<br/>
    <icon texture='GUI/Bullet'/>Кожній будівлі потрібен вільний <icon height='20' texture='Icons/Attributes/BuildingSlots'/> слот для будівель<br/>
    <icon texture='GUI/Bullet'/>Кожна приєднана клітинка витрачає на утримання %2% <icon height='20' texture='Icons/Attributes/Influence'/> впливу

## Actions.xml|AnchoritesCharm
EN: Anchorite's Charm
UK: Талісман Анахорета

## Actions.xml|AngelFlight
EN: Angel Flight
UK: Політ ангела

## Actions.xml|AntimatterDilation
EN: Antimatter Dilation
UK: Розтягнення антиматерії

## Actions.xml|AntiparticlePurge
EN: Antiparticle Purge
UK: Чистка античастинками

## Actions.xml|Apotheosis
EN: Apotheosis
UK: Апофеоз

## Actions.xml|Appear
EN: Appear
UK: Поява

## Actions.xml|ArmorOfFaith
EN: Armor of Faith
UK: Обладунки віри

## Actions.xml|ArtificersPrecision
EN: Artificer's Precision
UK: Точність Майстрині

## Actions.xml|Assassinate
EN: Assassinate
UK: Жорстоке вбивство

## Actions.xml|AtramentousAura
EN: Atramentous Aura
UK: Чудесна аура

## Actions.xml|Attack
EN: Attack
UK: Атака

## Actions.xml|AttackFunction
EN: Attack Function
UK: Режим атаки

## Actions.xml|AuraOfDiscipline
EN: Aura of Discipline
UK: Аура злагодженості

## Actions.xml|AuraOfTheFalseSpeaker
EN: Aura of The False Speaker
UK: Аура Лжевісника

## Actions.xml|BionicImplant
EN: Bionic Implant
UK: Біонічний імплант

## Actions.xml|BlackHole
EN: Black Hole
UK: Чорна діра

## Actions.xml|BreedDeformities
EN: Breed Deformities
UK: Породження потвор

## Actions.xml|Bombardment
EN: Bombardment
UK: Бомбардування

## Actions.xml|BuyHint
EN: <style name='Title'/>Buy %1%%2%<style name='Default'/><br/>
    <style color='GUI/Red'/>%3%%4%<style name='Default'/>%5%%6%%7%%8%%10%<style name='Italic'/>%11%<style name='Small'/>%12%
UK: <style name='Title'/>Купити: %1%%2%<style name='Default'/><br/>
    <style color='GUI/Red'/>%3%%4%<style name='Default'/>%5%%6%%7%%8%%10%<style name='Italic'/>%11%<style name='Small'/>%12%

## Actions.xml|BuyHintMax
EN: [<string name='Controls/Alt'/>+<string name='Controls/MouseLeft'/>] to buy max (%1% for %2%).
UK: [<string name='Controls/Alt'/>+<string name='Controls/MouseLeft'/>] — купити макс. (%1% за %2%).

## Actions.xml|BuyHintMore
EN: [<string name='Controls/Control'/>+<string name='Controls/MouseLeft'/>] to buy ×10 (%1% for %2%).
UK: [<string name='Controls/Control'/>+<string name='Controls/MouseLeft'/>] — купити ×10 (%1% за %2%).

## Actions.xml|CallTheAfflicted
EN: Call the Afflicted
UK: Зов прокажених

## Actions.xml|Capture
EN: Capture
UK: Захоплення

## Actions.xml|CarrionGlutProperties
EN: <icon texture='GUI/Bullet'/><style color='GUI/Green'/>+4<style color='Default'/> <string name='Attributes/HitpointsIcon'/> hitpoints each time a unit dies
UK: <icon texture='GUI/Bullet'/><style color='GUI/Green'/>+4<style color='Default'/> <string name='Attributes/HitpointsIcon'/> од. здоров’я при кожній загибелі будь-якого юніта в області

## Actions.xml|Cataphora
EN: Cataphora
UK: Катафора

## Actions.xml|CauterizeWounds
EN: Cauterize Wounds
UK: Припікання ран

## Actions.xml|CherubicHallowing
EN: Cherubic Hallowing
UK: Херувимський захист

## Actions.xml|ChoralCelerity
EN: Choral Celerity
UK: Хорова стрімкість

## Actions.xml|ClearTile
EN: Clear Tile
UK: Зачищення клітинки

## Actions.xml|ClearTileDescription
EN: <icon texture='GUI/Bullet'/>Removes <icon height='20' texture='Icons/Features/Mines'/> Mines, <icon height='20' texture='Icons/Features/Bleed'/> Bleed, <icon height='20' texture='Icons/Features/Ruins'/> Ruins, <icon height='20' texture='Icons/Features/Forest'/> Forest and <icon height='20' texture='Icons/Features/Rocks'/> Rocks from target tile, one at a time<br/>
    <icon texture='GUI/Bullet'/>Frees up a <icon height='20' texture='Icons/Attributes/BuildingSlots'/> building slot from target tile
UK: <icon texture='GUI/Bullet'/>Прибирає <icon height='20' texture='Icons/Features/Mines'/> Міни, <icon height='20' texture='Icons/Features/Bleed'/> Кровотечу, <icon height='20' texture='Icons/Features/Ruins'/> Руїни, <icon height='20' texture='Icons/Features/Forest'/> Ліс та <icon height='20' texture='Icons/Features/Rocks'/> Каміння з указаної клітинки, по одному за раз<br/>
    <icon texture='GUI/Bullet'/>Звільняє <icon height='20' texture='Icons/Attributes/BuildingSlots'/> слот для будівлі на вказаній клітинці

## Actions.xml|CloneWave
EN: Clone Wave
UK: Хвиля клонів

## Actions.xml|CombatRoutine
EN: Combat Routine
UK: Підпрограма бою

## Actions.xml|CombatRoutineProperties
EN: <icon texture='GUI/Bullet'/>Usable when below full hitpoints
UK: <icon texture='GUI/Bullet'/>Можна використовувати при неповних од. здоров’я

## Actions.xml|ConjureBleed
EN: Conjure Bleed
UK: Виклик Течі

## Actions.xml|ConstructArtificersLaboratory
EN: Construct <string name='Units/ArtificersLaboratory'/>
UK: Спорудження: <string name='Units/ArtificersLaboratory'/>

## Actions.xml|ConstructBunker
EN: Construct <string name='Units/Bunker'/>
UK: Спорудження: <string name='Units/Bunker'/>

## Actions.xml|ConstructFarm
EN: Construct <string name='Buildings/Food'/>
UK: Спорудження: <string name='Buildings/Food'/>

## Actions.xml|ConstructOphanimCarrier
EN: Construct <string name='Units/OphanimCarrier'/>
UK: Спорудження: <string name='Units/OphanimCarrier'/>

## Actions.xml|ConstructRadioTelescope
EN: Construct <string name='Units/RadioTelescope'/>
UK: Спорудження: <string name='Units/RadioTelescope'/>

## Actions.xml|ConstructRoad
EN: Construct Road
UK: Спорудження: Дорога

## Actions.xml|ConstructTesseraCore
EN: Construct <string name='Units/TesseraCore'/>
UK: Спорудження: <string name='Units/TesseraCore'/>

## Actions.xml|ConstructWarden
EN: Construct <string name='Units/Warden'/>
UK: Спорудження: <string name='Units/Warden'/>

## Actions.xml|CreateShochitrisLair
EN: Create <string name='Units/ShochitrisLair'/>
UK: Створення: <string name='Units/ShochitrisLair'/>

