# B01: 250 entries from AI.xml

## AI.xml|Anchorite
## AI.xml|HeartlessArtificer23
EN: Dinah
UK: Діна

## AI.xml|HeartlessArtificer24
EN: Rebecca
UK: Ревекка

## AI.xml|HeartlessArtificer25
EN: Bathsheba
UK: Батшева

## AI.xml|HeartlessArtificer26
EN: Abena
UK: Абена

## AI.xml|HeartlessArtificer27
EN: Asantewaa
UK: Асантва

## AI.xml|HeartlessArtificer28
EN: Mamle
UK: Мамле

## AI.xml|HeartlessArtificer29
EN: Efua
UK: Ефуа

## AI.xml|HollowWarlord0
EN: Luteru
UK: Лутеру

## AI.xml|HollowWarlord1
EN: Pauliasi
UK: Пауліасі

## AI.xml|HollowWarlord2
EN: Kai
UK: Кай

## AI.xml|HollowWarlord3
EN: Pupuka
UK: Папака

## AI.xml|HollowWarlord4
EN: Kina’u
UK: Кіна’у

## AI.xml|HollowWarlord5
EN: Ka’aihue
UK: Ка’айхве

## AI.xml|HollowWarlord6
EN: Kapela
UK: Капела

## AI.xml|HollowWarlord7
EN: Kalua
UK: Калуа

## AI.xml|HollowWarlord8
EN: Keawe
UK: Кіаве

## AI.xml|HollowWarlord9
EN: Keaka
UK: Кіака

## AI.xml|HollowWarlord10
EN: Opunui
UK: Опунуї

## AI.xml|HollowWarlord11
EN: Kimo
UK: Кімо

## AI.xml|HollowWarlord12
EN: Leialoha
UK: Лейалоха

## AI.xml|HollowWarlord13
EN: Keonaona
UK: Кіонаона

## AI.xml|HollowWarlord14
EN: Puananu
UK: Пуанану

## AI.xml|HollowWarlord15
EN: Iwalani
UK: Івалані

## AI.xml|HollowWarlord16
EN: Maile
UK: Маїле

## AI.xml|HollowWarlord17
EN: Keoni
UK: Кіоні

## AI.xml|HollowWarlord18
EN: Ikaika
UK: Ікаїка

## AI.xml|HollowWarlord19
EN: ’Alika
UK: Аліка

## AI.xml|HollowWarlord20
EN: Keola
UK: Кіола

## AI.xml|HollowWarlord21
EN: Nāinoa
UK: Нааїноа

## AI.xml|HollowWarlord22
EN: Makana
UK: Макана

## AI.xml|HollowWarlord23
EN: Keanu
UK: Кіану

## AI.xml|HollowWarlord24
EN: Kanoa
UK: Каноа

## AI.xml|HollowWarlord25
EN: Tui
UK: Туї

## AI.xml|HollowWarlord26
EN: Rangi
UK: Рангі

## AI.xml|HollowWarlord27
EN: Tipene
UK: Тіпене

## AI.xml|HollowWarlord28
EN: Wiremu
UK: Вірему

## AI.xml|HollowWarlord29
EN: Aroha
UK: Ароха

## AI.xml|HonorableAristocrat0
EN: Ascania
UK: Асканія

## AI.xml|HonorableAristocrat1
EN: Battenberg
UK: Баттенберг

## AI.xml|HonorableAristocrat2
EN: Kleist
UK: Кляйст

## AI.xml|HonorableAristocrat3
EN: Luneburg
UK: Люнебург

## AI.xml|HonorableAristocrat4
EN: Von Rad
UK: Фон Рад

## AI.xml|HonorableAristocrat5
EN: Ribbenlow
UK: Ріббенлоу

## AI.xml|HonorableAristocrat6
EN: Schiller
UK: Шіллер

## AI.xml|HonorableAristocrat7
EN: Heinesse
UK: Хайнессе

## AI.xml|HonorableAristocrat8
EN: Sachs
UK: Сакс

## AI.xml|HonorableAristocrat9
EN: Eisenstein
UK: Айзенштайн

## AI.xml|HonorableAristocrat10
EN: Bekker
UK: Беккер

## AI.xml|HonorableAristocrat11
EN: Ludendorff
UK: Людендорф

## AI.xml|HonorableAristocrat12
EN: Moltke
UK: Мольтке

## AI.xml|HonorableAristocrat13
EN: Falkenhayn
UK: Фалькенхайн

## AI.xml|HonorableAristocrat14
EN: Hindenburg
UK: Гінденбург

## AI.xml|HonorableAristocrat15
EN: Ernst
UK: Ернст

## AI.xml|HonorableAristocrat16
EN: Ludwig
UK: Людвіг

## AI.xml|HonorableAristocrat17
EN: Georg
UK: Георг

## AI.xml|HonorableAristocrat18
EN: Adalbert
UK: Адальберт

## AI.xml|HonorableAristocrat19
EN: Arnold
UK: Арнольд

## AI.xml|HonorableAristocrat20
EN: Balthasar
UK: Бальтазар

## AI.xml|HonorableAristocrat21
EN: Bartholomeus
UK: Бартоломеус

## AI.xml|HonorableAristocrat22
EN: Caspar
UK: Каспар

## AI.xml|HonorableAristocrat23
EN: Clemens
UK: Клеменс

## AI.xml|HonorableAristocrat24
EN: Eberhard
UK: Еберхард

## AI.xml|HonorableAristocrat25
EN: Eckeard
UK: Еккерд

## AI.xml|HonorableAristocrat26
EN: Edgard
UK: Едгард

## AI.xml|HonorableAristocrat27
EN: Eginhard
UK: Егінхард

## AI.xml|HonorableAristocrat28
EN: Elias
UK: Еліас

## AI.xml|HonorableAristocrat29
EN: Ephraim
UK: Ефраїм

## AI.xml|HonorableAristocrat30
EN: Erasmus
UK: Ерасмус

## AI.xml|HonorableAristocrat31
EN: Eustachius
UK: Еустахіус

## AI.xml|HonorableAristocrat32
EN: Fabian
UK: Фабіан

## AI.xml|HonorableAristocrat33
EN: Felix
UK: Фелікс

## AI.xml|HonorableAristocrat34
EN: Ferdinand
UK: Фердинанд

## AI.xml|HonorableAristocrat35
EN: Flavian
UK: Флавіан

## AI.xml|HonorableAristocrat36
EN: Franciscus
UK: Францискус

## AI.xml|HonorableAristocrat37
EN: Friederich
UK: Фрідріх

## AI.xml|ImperiousExonaut0
EN: Lindgren
UK: Ліндгрен

## AI.xml|ImperiousExonaut1
EN: Segersäll
UK: Сегерселль

## AI.xml|ImperiousExonaut2
EN: Njord
UK: Ньорд

## AI.xml|ImperiousExonaut3
EN: Frey
UK: Фрей

## AI.xml|ImperiousExonaut4
EN: Yngvi
UK: Інгві

## AI.xml|ImperiousExonaut5
EN: Sveigder
UK: Свейгдер

## AI.xml|ImperiousExonaut6
EN: Vanlande
UK: Ванланде

## AI.xml|ImperiousExonaut7
EN: Visbur
UK: Вісбур

## AI.xml|ImperiousExonaut8
EN: Tvinga
UK: Твінга

## AI.xml|ImperiousExonaut9
EN: Driva
UK: Дріва

## AI.xml|ImperiousExonaut10
EN: Höger
UK: Гьогер

## AI.xml|ImperiousExonaut11
EN: Makt
UK: Макт

## AI.xml|ImperiousExonaut12
EN: Dag
UK: Даг

## AI.xml|ImperiousExonaut13
EN: Aun
UK: Аун

## AI.xml|ImperiousExonaut14
EN: Alfhild
UK: Альфхільд

## AI.xml|ImperiousExonaut15
EN: Yngling
UK: Інглінг

## AI.xml|ImperiousExonaut16
EN: Vidfamne
UK: Відфамне

## AI.xml|ImperiousExonaut17
EN: Utfrysa
UK: Утфрюса

## AI.xml|ImperiousExonaut18
EN: Ståhle
UK: Стогле

## AI.xml|ImperiousExonaut19
EN: Fjellström
UK: Ф’єльстрьом

## AI.xml|ImperiousExonaut20
EN: Olsson
UK: Ольссон

## AI.xml|ImperiousExonaut21
EN: Munsö
UK: Мунсьо

## AI.xml|ImperiousExonaut22
EN: Starkadr
UK: Старкадр

## AI.xml|ImperiousExonaut23
EN: Volsung
UK: Вольсунг

## AI.xml|ImperiousExonaut24
EN: Menglad
UK: Менглад

## AI.xml|ImperiousExonaut25
EN: Odinsdottir
UK: Одінсдоттір

## AI.xml|ImperiousExonaut26
EN: Signe
UK: Сігне

## AI.xml|ImperiousExonaut27
EN: Ingeld
UK: Інгельд

## AI.xml|ImperiousExonaut28
EN: Vikander
UK: Вікандер

## AI.xml|ImperiousExonaut29
EN: Johanssen
UK: Йоганссен

## AI.xml|InfiniteCount0
EN: Von Huygens
UK: Фон Гайгенс

## AI.xml|InfiniteCount1
EN: De Breguet
UK: Де Бреге

## AI.xml|InfiniteCount2
EN: De Dufour
UK: Де Дюфур

## AI.xml|InfiniteCount3
EN: De Voutilainen
UK: Де Вутілайнен

## AI.xml|InfiniteCount4
EN: Af Sibiu
UK: Аф Сібіу

## AI.xml|InfiniteCount5
EN: Di Bianco
UK: Ді Б’янко

## AI.xml|InfiniteCount6
EN: Di Nero
UK: Ді Неро

## AI.xml|InfiniteCount7
EN: Da Drusillo
UK: Да Друсілло

## AI.xml|InfiniteCount8
EN: Di Weims
UK: Ді Ваймс

## AI.xml|InfiniteCount9
EN: Di Grotti
UK: Ді Гротті

## AI.xml|InfiniteCount10
EN: Af Novac
UK: Аф Новак

## AI.xml|InfiniteCount11
EN: Di Albizzi
UK: Ді Альбіцці

## AI.xml|InfiniteCount12
EN: Di Brando
UK: Ді Брандо

## AI.xml|InfiniteCount13
EN: Af Orsini
UK: Аф Орсіні

## AI.xml|InfiniteCount14
EN: Di Grimaldi
UK: Ді Грімальді

## AI.xml|InfiniteCount15
EN: Di Ruspoli
UK: Ді Русполі

## AI.xml|InfiniteCount16
EN: De Angelus
UK: Де Ангелус

## AI.xml|InfiniteCount17
EN: Von Godric
UK: Фон Годрік

## AI.xml|InfiniteCount18
EN: De Regis
UK: Де Регіс

## AI.xml|InfiniteCount19
EN: De Comte
UK: Де Комте

## AI.xml|InfiniteCount20
EN: Di Gonzaga
UK: Ді Гонзага

## AI.xml|InfiniteCount21
EN: Di Piccolomini
UK: Ді Пікколоміні

## AI.xml|InfiniteCount22
EN: Da Gaetano
UK: Да Гаетано

## AI.xml|InfiniteCount23
EN: Da Boncompagni
UK: Да Бонкомпаньї

## AI.xml|InfiniteCount24
EN: De St. Claire
UK: Де Сент-Клер

## AI.xml|InfiniteCount25
EN: De Camillo
UK: Де Камілло

## AI.xml|InfiniteCount26
EN: Di Marsilio
UK: Ді Марсіліо

## AI.xml|InfiniteCount27
EN: Af Karrstine
UK: Аф Карстін

## AI.xml|InfiniteCount28
EN: Di Selvaggia
UK: Ді Сельваджа

## AI.xml|InfiniteCount29
EN: Of Ruven
UK: Оф Рувен

## AI.xml|InfiniteCount30
EN: Du Lioncourt
UK: Дю Ліонкур

## AI.xml|InfiniteCount31
EN: Du Kula
UK: Дю Кула

