# B08: 250 entries from Cities.xml

## Cities.xml|HeartlessArtificer2
EN: Marginopolis
UK: Маржинополіс

## Cities.xml|PlatinumScion19
EN: Cashflow Crest
UK: Кешбек-Кросс

## Cities.xml|PlatinumScion20
EN: Bondholder Bay
UK: Затока Облігацій

## Cities.xml|PlatinumScion21
EN: Scalability Sands
UK: Золоті Гори

## Cities.xml|PlatinumScion22
EN: Neon Ledger
UK: Неонові Вогні

## Cities.xml|PlatinumScion23
EN: Ratchet Point
UK: Точка Окупності

## Cities.xml|PlatinumScion24
EN: KPI Terrace
UK: Тераси Рентабельності

## Cities.xml|PlatinumScion25
EN: Founder's Folly
UK: Обрив Боргів

## Cities.xml|PlatinumScion26
EN: Humble Hub
UK: Вузол Доходності

## Cities.xml|PlatinumScion27
EN: Clickthrough Quarters
UK: Кранчбург

## Cities.xml|PlatinumScion28
EN: Utopia Park
UK: Пагорби Інвестицій

## Cities.xml|PlatinumScion29
EN: Daedline City
UK: Даедлайн-Сіті

## Cities.xml|PracticalRomantic0
EN: Séfra
UK: Сефра

## Cities.xml|PracticalRomantic1
EN: Zaoutine
UK: Заутин

## Cities.xml|PracticalRomantic2
EN: Méridja
UK: Мерид’я

## Cities.xml|PracticalRomantic3
EN: Sidi Yacoub
UK: Сіди-Якуб

## Cities.xml|PracticalRomantic4
EN: Zelamta
UK: Зеламта

## Cities.xml|PracticalRomantic5
EN: Relizane
UK: Релізане

## Cities.xml|PracticalRomantic6
EN: Nedroma
UK: Недрома

## Cities.xml|PracticalRomantic7
EN: Souarekh
UK: Суарех

## Cities.xml|PracticalRomantic8
EN: Morsott
UK: Морсотт

## Cities.xml|PracticalRomantic9
EN: Cherchar
UK: Шершар

## Cities.xml|PracticalRomantic10
EN: Amal
UK: Амал

## Cities.xml|PracticalRomantic11
EN: Almuruna
UK: Алмуруна

## Cities.xml|PracticalRomantic12
EN: Ghayri
UK: Гайрі

## Cities.xml|PracticalRomantic13
EN: Maktaba
UK: Мактаба

## Cities.xml|PracticalRomantic14
EN: Tilimsan
UK: Тилимсан

## Cities.xml|PracticalRomantic15
EN: Tindouf
UK: Тиндуф

## Cities.xml|PracticalRomantic16
EN: Tamanrasset
UK: Таманрассет

## Cities.xml|PracticalRomantic17
EN: In Guezzam
UK: Ін-Геззам

## Cities.xml|PracticalRomantic18
EN: Djanet
UK: Джанет

## Cities.xml|PracticalRomantic19
EN: Tebessa
UK: Тебесса

## Cities.xml|PracticalRomantic20
EN: Aïn Beïda
UK: Айїн-Бейіда

## Cities.xml|PracticalRomantic21
EN: Timimoun
UK: Тимімоун

## Cities.xml|PracticalRomantic22
EN: I-n-Salah
UK: Ін-Шалах

## Cities.xml|PracticalRomantic23
EN: Hassi Messaoud
UK: Хассі-Мессауд

## Cities.xml|PracticalRomantic24
EN: In Aménas
UK: Ін-Аменас

## Cities.xml|PracticalRomantic25
EN: Ghardaïa
UK: Гардайя

## Cities.xml|PracticalRomantic26
EN: Beni Abbès
UK: Бені-Аббес

## Cities.xml|PracticalRomantic27
EN: Adrar
UK: Адрар

## Cities.xml|PracticalRomantic28
EN: Tamanghasset
UK: Таманґассет

## Cities.xml|PracticalRomantic29
EN: El Golea
UK: Ель-Голеа

## Cities.xml|RogueOperative0
EN: Chengdu
UK: Ченду

## Cities.xml|RogueOperative1
EN: Zhongguancun
UK: Чжонгуаньцунь

## Cities.xml|RogueOperative2
EN: Shenzhen
UK: Шеньчжень

## Cities.xml|RogueOperative3
EN: Qujing
UK: Цюйцзин

## Cities.xml|RogueOperative4
EN: Lingang
UK: Ліньган

## Cities.xml|RogueOperative5
EN: Xiamen
UK: Сямень

## Cities.xml|RogueOperative6
EN: Zhengzhou
UK: Чженьчжоу

## Cities.xml|RogueOperative7
EN: Lu'An
UK: Лю-Ань

## Cities.xml|RogueOperative8
EN: Jinan
UK: Цзінань

## Cities.xml|RogueOperative9
EN: Dalian
UK: Далянь

## Cities.xml|RogueOperative10
EN: Shenyang
UK: Шеньян

## Cities.xml|RogueOperative11
EN: Wǎng Luò
UK: Ван-Ло

## Cities.xml|RogueOperative12
EN: Péng Kè
UK: Пен-Ке

## Cities.xml|RogueOperative13
EN: Zēng Qiáng
UK: Цзень-Цян

## Cities.xml|RogueOperative14
EN: Weixīng
UK: Вейсін

## Cities.xml|RogueOperative15
EN: Hǎidìng
UK: Хайдин

## Cities.xml|RogueOperative16
EN: Xiàndù
UK: Сяньду

## Cities.xml|RogueOperative17
EN: Yánggūo
UK: Янго

## Cities.xml|RogueOperative18
EN: Míngxiàn
UK: Мінсянь

## Cities.xml|RogueOperative19
EN: Shēnzé
UK: Шеньцзе

## Cities.xml|RogueOperative20
EN: Róngchéng
UK: Жунчень

## Cities.xml|RogueOperative21
EN: Shìlǐng
UK: Шилін

## Cities.xml|RogueOperative22
EN: Dōngpíng
UK: Дунпін

## Cities.xml|RogueOperative23
EN: Gànshān
UK: Гашань

## Cities.xml|RogueOperative24
EN: Sìshǐ
UK: Сиші

## Cities.xml|RogueOperative25
EN: Jiāngnán
UK: Цзяннань

## Cities.xml|RogueOperative26
EN: Guǎngzhōu
UK: Гуанчжоу

