Total Russian entries: 466
Total Ukrainian entries: 418
Missing entries: 48

Missing entries (Name | Russian Value):
TheSureThingLongFlavor | «Зачем тратить минералы на отделение ишимов-силовиков сегодня, если благодаря процентам можно будет создать целый взвод?» Ладно. В чём-то избалованный мальчишка был прав. Но у меня аж кровь закипала, когда я смотрел, как этот щенок бормочет о нормах доходности где-то в углу вместо того, чтобы отправлять войска в бой.
TheSureThingMedium | Беспроигрышный вариант (Средний)
TheSureThingMediumFlavor | Если бы мы могли позволить себе ещё парочку ишимов-силовиков, этот долбаный страж сейчас не обстреливал ракетами наш штаб. Вместо этого мне лично пришлось тащить Отпрыска в аварийный бункер, пока наш гарнизон отражал атаку. По крайней мере, у него было хорошее настроение. Он хихикал над планшетом и бормотал что-то о стопроцентном росте, пока у нас над головами гремели взрывы...
TheSureThingShort | Беспроигрышный вариант (Маленький)
TheSureThingShortFlavor | Отпрыск пересказывал мне свой инвестиционный план. Снова. «Это всё В, С и П, дружище. Возврат с процентами. Мы даём минералы в долг нашим партнёрам. Они отдают больше через пару месяцев. Даже такому пещерному человеку должно быть понятно!» Да мне и так было понятно. Что мне не было понятно, так это почему он так хотел, чтобы я был в восторге от его идеи.
TimeOutOfJoint | Безвременье
TimeOutOfJointFlavor | Да пошла на хрен эта временная белиберда! Хотел бы я сказать это Графу прямо в лицо. Сперва его сила казалась полезной — эдакий прилив энергии среди поля боя, благодаря которому ты продолжал бежать и стрелять. Но за манипуляции с ходом времени всегда нужно платить. И я платил слишком часто.
TimeOutOfJointProperties | <string name='Actions/WordsOfTheProphetProperties'/>
VerticalThrusters | Вертикальные ускорители
VerticalThrustersFlavor | «Хватит страдать хернёй!» — командир был в бешенстве. Он орал на пилота «Егеря», который каждый раз запускал ускорители, едва те успевали остыть. Первая машина или первый боевой скафандр военного образца — не имеет значения. Они всегда хотят ощутить этот прилив скорости и свободы.
VerticalThrustersProperties | <string name='Actions/JumpPackProperties'/>
VorodaisBargain | Подкуп Вародай
VorodaisBargainFlavor | Рвота. Крики. Звук внутренностей того человека, сжимаемых так, как будто он был на дне Марианской впадины. Мы прошли мимо него, стараясь не глазеть. Его избрали стать пищей Вародай, нас пощадили. Но издашь хоть писк — и следующим изберут тебя.
